Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
1283,,https://github.com/serverlessworkflow/sdk-java/issues/1283,[Experimental] Run java function calls asynchronously,fjtirado,,Runtimes,Major,,2026/Q1,S,0.3,0.3,2026-04-07,,
1286,,https://github.com/serverlessworkflow/sdk-java/issues/1286,Allow integration of Listeners execution into the Workflow execution,fjtirado,,Runtimes,Major,,2026/Q1,M,0.4,0.3,2026-04-07,,
395,,https://github.com/quarkiverse/quarkus-flow/issues/395,bug: Persistence uses blocking API on Vert.x event loop,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.1,2026-04-07,,
1275,,https://github.com/serverlessworkflow/sdk-java/issues/1275,Fix static `ObjectMapper` initialization trap in `JsonUtils` and add native CloudEvents Jackson support,ricardozanini,,Runtimes,Blocker,,2026/Q1,S,1.0,0.8,2026-04-02,,
1276,,https://github.com/serverlessworkflow/sdk-java/issues/1276,WorkflowModel.isNull should be ignored for JacksonObjectModel,fjtirado,,Runtimes,Major,,2026/Q1,XS,0.1,0.1,2026-03-31,,
1280,,https://github.com/serverlessworkflow/sdk-java/issues/1280,[Experimental] Increase flexibility of posible output classses for outputAs after a listen one,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-03-31,,
10,2,https://github.com/serverlessworkflow/editor/issues/10,Set up React Flow and add a base Diagram component,handreyrc,,Tooling,Normal,,2026/Q2,S,0.4,0.4,2026-03-27,,
1251,,https://github.com/serverlessworkflow/sdk-java/issues/1251,"Add proper DSL schedule support ""on"" at workflow base and timeouts on tasks",ricardozanini,,Runtimes,Blocker,,2026/Q1,S,0.2,0.1,2026-03-27,,
1271,,https://github.com/serverlessworkflow/sdk-java/issues/1271,Improve CustomObjectMarshaller resolution,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-03-27,,
14,2,https://github.com/serverlessworkflow/editor/issues/14,Setup Storybook,handreyrc,,Tooling,Normal,,2026/Q2,M,0.5,0.5,2026-03-27,,
362,,https://github.com/quarkiverse/quarkus-flow/issues/362,Improve performance of JPA scanAll,fjtirado,,Runtimes,Normal,,2026/Q1,M,0.4,0.2,2026-03-27,,
365,,https://github.com/quarkiverse/quarkus-flow/issues/365,feat: CI workflow that builds the repository with Quarkus Platform,baldimir,,CI,Major,,2026/Q1,M,0.4,0.3,2026-03-27,,
42,2,https://github.com/serverlessworkflow/editor/issues/42,Add LLM Usage Guidance to CONTRIBUTING.md,lornakelly,,Tooling,Normal,,2026/Q1,XS,0.1,0.1,2026-03-27,,
8,2,https://github.com/serverlessworkflow/editor/issues/8,Create TypeScript React Base Project,handreyrc,,Tooling,Normal,,2026/Q1,XL,1.5,1.7,2026-03-27,,
1266,,https://github.com/serverlessworkflow/sdk-java/issues/1266,Integrate CustomMarshaller on model defining modules,fjtirado,,Runtimes,Major,,2026/Q1,M,0.4,0.2,2026-03-26,,
1267,,https://github.com/serverlessworkflow/sdk-java/issues/1267,GraalVM native build fails due to EPollSelectorImpl initialization in HttpClientResolver,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-03-26,,
